,Nick,PDL,Jogos,link
50,虎牙冲榜赛丶云天,1017,366,https://lol.qq.com/tft/#/masterDetail/be5233a9-1d4a-5a4b-969f-d30972c66f96/1
51,看哈这一区有好凶,1010,249,https://lol.qq.com/tft/#/masterDetail/e206e79a-e68b-5ace-8556-f8d337e07da6/1
52,风铃剑1,1005,338,https://lol.qq.com/tft/#/masterDetail/2b0d98d4-7145-5f39-bec0-c72bfbe1fd79/1
53,等一个啾啾,1005,285,https://lol.qq.com/tft/#/masterDetail/d351a016-18ee-5796-b0e2-aafab6e64d51/1
54,小熊举脚,1003,332,https://lol.qq.com/tft/#/masterDetail/00521681-7d44-5966-bb00-7809b16f8cc0/1
55,虎牙丶一只伊泽,998,249,https://lol.qq.com/tft/#/masterDetail/5c898757-4238-5ae1-9de4-f4ee58412315/1
56,斗鱼丶阿陈,996,237,https://lol.qq.com/tft/#/masterDetail/a2b62c75-0c58-5bbf-8a28-72c7a7cd405f/1
57,斗鱼el小然,992,312,https://lol.qq.com/tft/#/masterDetail/f491610b-4692-5a2d-83b3-6280785bf597/1
58,huya丶杰希,976,408,https://lol.qq.com/tft/#/masterDetail/ae4c4405-803b-5f63-91e1-2da0cba4886c/1
59,你脑子呢2,975,379,https://lol.qq.com/tft/#/masterDetail/3f85ce47-7130-596e-9501-9cbd8f0ff9d8/1
60,虎牙冲榜赛肥肥球,967,196,https://lol.qq.com/tft/#/masterDetail/5f178da1-1e4c-518c-8b3e-32b0160a497c/1
61,bilibili丶LIGhtY,955,269,https://lol.qq.com/tft/#/masterDetail/0ea6c4e0-26d2-5d5f-8af9-db8406861ace/1
62,你真优秀啊丶,955,185,https://lol.qq.com/tft/#/masterDetail/896c572c-ab1a-5733-8d8e-128511468b40/1
63,斗鱼AG丶snowy7,938,368,https://lol.qq.com/tft/#/masterDetail/3105ec1f-e9f8-5c47-8539-4fcd4b6b7b65/1
64,虎牙查理,934,459,https://lol.qq.com/tft/#/masterDetail/2666cf12-2481-5902-9b2d-0f872425722c/1
65,虎牙冲榜赛丶631,932,398,https://lol.qq.com/tft/#/masterDetail/cb4d7116-790a-53a6-b67a-fb8baff4d48a/1
66,DouyuKinu,914,336,https://lol.qq.com/tft/#/masterDetail/f1eb236b-37f2-5e7c-a83b-f4d7c2a4fa75/1
67,虎牙丶温语,913,303,https://lol.qq.com/tft/#/masterDetail/6508c604-e887-535c-a65b-4ccfd85725e4/1
68,虎牙冲榜赛丶Cxx,907,417,https://lol.qq.com/tft/#/masterDetail/a9df960f-d004-5ce0-b0b2-5564555fbe8c/1
69,虎牙丶芦浦小钢炮,904,309,https://lol.qq.com/tft/#/masterDetail/7b0cb994-4450-5aaa-980c-74a11d8cad7d/1
70,钻1守门员y,900,422,https://lol.qq.com/tft/#/masterDetail/2103ccad-cbc8-528a-bf56-ec5566ab1674/1
71,虎牙小云朵,895,178,https://lol.qq.com/tft/#/masterDetail/bd0c32fa-3eee-5763-9f24-b0e260fa2e84/1
72,我的大聪明女友,888,172,https://lol.qq.com/tft/#/masterDetail/1eca8f37-d929-5c35-9728-46b5aafbdac9/1
73,koomorebi,888,247,https://lol.qq.com/tft/#/masterDetail/9bf497b3-cc48-52c2-a27f-0c2c89ae2e73/1
74,走心的FLOW,881,371,https://lol.qq.com/tft/#/masterDetail/7c54d2f1-a4cd-5a55-8209-2a961cacad37/1
75,虎牙丶er0,879,452,https://lol.qq.com/tft/#/masterDetail/13d9dabb-ef35-5be5-9c26-5dea9368b20a/1
76,斗鱼丶Ag狮子的ak,874,417,https://lol.qq.com/tft/#/masterDetail/10979497-8fcf-505a-92c8-f30bf3a39510/1
77,小凡包,867,159,https://lol.qq.com/tft/#/masterDetail/7d432faa-9825-5d43-82ee-ad41c32196d5/1
78,上分V丶aka12247,865,303,https://lol.qq.com/tft/#/masterDetail/b7fa4733-e4c2-53b5-9e1e-5f8a4c440d75/1
79,美羊羊,857,295,https://lol.qq.com/tft/#/masterDetail/b435c5b2-fc02-5e6b-aa2b-10abdaf6dfd2/1
80,龙爷i丶,856,266,https://lol.qq.com/tft/#/masterDetail/bbab8503-52c2-5b1a-848d-d14ae95095e7/1
81,眼角一抹血腥,855,327,https://lol.qq.com/tft/#/masterDetail/b365f97a-9778-59ec-a024-9b1902542f94/1
82,虎牙丶psyduck,853,303,https://lol.qq.com/tft/#/masterDetail/48dfdcc8-9361-5a62-802b-1abb088c7923/1
83,Bilibili丶自行车,845,274,https://lol.qq.com/tft/#/masterDetail/7d236a96-e613-5721-b50f-5318934d1a41/1
84,云顶练习生小点点,841,300,https://lol.qq.com/tft/#/masterDetail/55743093-2a85-5f4c-be2d-7ec5f39a2f23/1
85,梦里想她她想他丶,833,280,https://lol.qq.com/tft/#/masterDetail/5edfcc9b-f5a8-52ec-8aca-808f85fd982f/1
86,晚星呀r,827,337,https://lol.qq.com/tft/#/masterDetail/ae0e14b6-0718-54e6-b9eb-e329cf732c22/1
87,虎牙丶秋冬,823,186,https://lol.qq.com/tft/#/masterDetail/b1ff6162-2895-5532-973a-2c74bb87b3fb/1
88,未来每天平安喜乐,821,240,https://lol.qq.com/tft/#/masterDetail/aaf85215-71af-5633-9084-55693cd7363a/1
89,虎牙丶李图川,813,324,https://lol.qq.com/tft/#/masterDetail/2471247b-69dc-5ae6-a133-971d8c58eca7/1
90,陪微7419965,813,318,https://lol.qq.com/tft/#/masterDetail/79b3e168-7cc1-570e-8233-04b52f6aa048/1
91,虎牙冲榜赛忘江水,808,367,https://lol.qq.com/tft/#/masterDetail/88290ccc-ecb4-54f6-842f-fedb2e49cfcf/1
92,yejinhand1,805,139,https://lol.qq.com/tft/#/masterDetail/f3418241-501f-5e78-bd18-734919fa83f8/1
93,虎牙丶断线ovo,805,365,https://lol.qq.com/tft/#/masterDetail/38c0c320-1217-5a7a-a9a0-aa0caff90278/1
94,bilibili丶萌太,804,353,https://lol.qq.com/tft/#/masterDetail/c3457537-a038-588b-ac70-c3b04747efb8/1
95,虎牙冲榜赛丶无心,804,266,https://lol.qq.com/tft/#/masterDetail/1ebc7f91-d6ce-5d88-ba9e-d17b432b6971/1
96,虎牙冲榜赛丶NOW,804,274,https://lol.qq.com/tft/#/masterDetail/c5d8708a-fc34-5d55-8159-47e53272a82e/1
97,被染红的蓝色,801,177,https://lol.qq.com/tft/#/masterDetail/90f1a07c-007f-5f5e-bdc3-133356d6b4cf/1
98,嘉然今天吃村草,800,332,https://lol.qq.com/tft/#/masterDetail/4f3c3088-44a5-5eda-ac5a-4f305fefc3ef/1
99,遇强则跑2,799,346,https://lol.qq.com/tft/#/masterDetail/ee662c44-fff3-57b6-9d13-b8b63bb0d9e2/1
100,海鸟跟鱼相爱ToT,797,257,https://lol.qq.com/tft/#/masterDetail/34c6e0de-1f45-52e7-b295-4e04f26661bf/1
101,烈日晴空真无语,796,300,https://lol.qq.com/tft/#/masterDetail/8f587a12-86a7-56f0-8511-8922cc4eb81f/1
102,国服第一海盗战,796,200,https://lol.qq.com/tft/#/masterDetail/fb2e434e-3247-5ee8-b764-7e232ed79541/1
103,虎牙丶游牧,777,172,https://lol.qq.com/tft/#/masterDetail/fd320744-f20b-571e-903f-10938aa9dc1b/1
104,斗鱼新河丶T1aozi,773,455,https://lol.qq.com/tft/#/masterDetail/79185710-f436-54d9-b377-2688b811ffd4/1
105,神超丶山海之子,770,311,https://lol.qq.com/tft/#/masterDetail/fb80f84e-6aaa-5a04-8251-27726bebad57/1
106,广水棋王,769,367,https://lol.qq.com/tft/#/masterDetail/8f8b4585-61d8-5bed-9bfc-3b0cf288b952/1
107,咱只是个神话,765,271,https://lol.qq.com/tft/#/masterDetail/6562c54a-d773-532f-a08f-e8ddab41d539/1
108,总不能第九吧,765,305,https://lol.qq.com/tft/#/masterDetail/eae1859d-9b6a-5c80-aef4-89c53eeacd40/1
109,胖丁知道该怎么做,764,131,https://lol.qq.com/tft/#/masterDetail/07568f19-ccf0-5b53-948c-de3995394444/1
110,温州蓝正龙,759,174,https://lol.qq.com/tft/#/masterDetail/d850574f-a5ea-5522-a351-35068d1fe98c/1
111,付宁宁7点0,756,203,https://lol.qq.com/tft/#/masterDetail/35a11a42-2866-5537-a464-4c9359ed1d25/1
112,贼猛的希望小学,752,381,https://lol.qq.com/tft/#/masterDetail/6a71e551-5349-509b-b964-b0e03f60ff8c/1
113,走火入魔lou,750,122,https://lol.qq.com/tft/#/masterDetail/637822bf-228b-5bf8-96b5-c6dce0670784/1
114,斗鱼丶达沙塔兰,749,304,https://lol.qq.com/tft/#/masterDetail/283c4b18-0b17-516b-af39-f7610140e48b/1
115,douyu丶陈夕,749,511,https://lol.qq.com/tft/#/masterDetail/c625a257-279c-519e-82c9-e3cbac48e1f3/1
116,丶念无可念,749,285,https://lol.qq.com/tft/#/masterDetail/4a270d02-ad45-5cff-8620-faf5f6b005cf/1
117,虎牙冲榜赛丶李某,744,367,https://lol.qq.com/tft/#/masterDetail/dd7e3ae0-0f30-5ca8-bbff-71e48750b6e7/1
118,熊心态好,742,211,https://lol.qq.com/tft/#/masterDetail/a93724ee-76f4-54ae-88d4-916b2490477d/1
119,Fly丶城,740,229,https://lol.qq.com/tft/#/masterDetail/8aa06a79-613b-53e8-aab3-1e56dd3f0c6b/1
120,清莲与水云身,732,305,https://lol.qq.com/tft/#/masterDetail/93cde8f1-9129-51bd-83b6-e7acd92d263d/1
