,Nick,PDL,Jogos,link
47,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
48,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
49,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
50,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
51,粉红暴龙战士丶,1140,477,https://lol.qq.com/tft/#/masterDetail/eede9dbf-31ef-5ce1-87a1-99e138a1b8dc/1
52,斗鱼炬合丶梨落,1136,290,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
53,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
54,斗鱼丶阿豪ei,1133,352,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
55,六个字可以吗,1133,341,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
56,虎牙丶sea,1122,356,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
57,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
58,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
59,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
60,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
61,粉红暴龙战士丶,1140,477,https://lol.qq.com/tft/#/masterDetail/eede9dbf-31ef-5ce1-87a1-99e138a1b8dc/1
62,斗鱼炬合丶梨落,1136,290,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
63,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
64,斗鱼丶阿豪ei,1133,352,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
65,六个字可以吗,1133,341,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
66,虎牙丶sea,1122,356,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
67,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
68,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
69,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
70,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
71,粉红暴龙战士丶,1140,477,https://lol.qq.com/tft/#/masterDetail/eede9dbf-31ef-5ce1-87a1-99e138a1b8dc/1
72,斗鱼炬合丶梨落,1136,290,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
73,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
74,斗鱼丶阿豪ei,1133,352,https://lol.qq.com/tft/#/masterDetail/68fa17e0-6045-587a-b0b4-3e87981a5a97/1
75,六个字可以吗,1133,341,https://lol.qq.com/tft/#/masterDetail/c8134249-896f-5a39-9837-685d3b7e1dcb/1
76,虎牙丶sea,1122,356,https://lol.qq.com/tft/#/masterDetail/a13730fa-32a8-5b04-8d11-23b0ab992056/1
77,虎牙红莲丶777,1118,314,https://lol.qq.com/tft/#/masterDetail/d0d7365d-3c7d-53c2-9c90-794eb41bb948/1
78,斗鱼丶雪下望月,1106,392,https://lol.qq.com/tft/#/masterDetail/b65cf359-718a-5f67-9717-8203fb76783d/1
79,图奇丶绝世拿铁,1102,320,https://lol.qq.com/tft/#/masterDetail/7b3706b7-8bf8-5900-8a12-67f540998cc6/1
80,虎牙冲榜赛丶狂乱,1100,343,https://lol.qq.com/tft/#/masterDetail/34943721-6feb-5dc1-a867-cddb6fe9f9d1/1
81,粉红暴龙战士丶,1140,477,https://lol.qq.com/tft/#/masterDetail/eede9dbf-31ef-5ce1-87a1-99e138a1b8dc/1
82,斗鱼炬合丶梨落,1136,290,https://lol.qq.com/tft/#/masterDetail/460a11d7-c4cd-574f-8bd2-4b986bf7395c/1
83,上分加729889524,1135,278,https://lol.qq.com/tft/#/masterDetail/a23afc66-7a75-5d29-8832-bc873401e844/1
